Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Molecule_type,Length,Geo_Location,Isolation_Source,Collection_Date
OP183416.1,Severe acute respiratory syndrome coronavirus 2,"Gad,A.F., Seadawy,M.G., Hanaa,H.A., Mervet,G.H., Mohamed,M.A.","Egypt Army, Main Laboratories Of chemical warfare",Egypt,2022-08-09T00:00:00Z,BA.2,4.3/1.20/v0.1.10/0.3.18,,OMICRON-1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29876,Egypt,oronasopharynx,2022-05-13
OP183417.1,Severe acute respiratory syndrome coronavirus 2,"Gad,A.F., Seadawy,M.G., Hanaa,H.A., Mervet,G.H., Mohamed,M.A.","Egypt Army, Main Laboratories Of chemical warfare",Egypt,2022-08-09T00:00:00Z,BA.2,4.3/1.20/v0.1.10/0.3.18,,OMICRON-2,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29876,Egypt,oronasopharynx,2022-05-15
OP183418.1,Severe acute respiratory syndrome coronavirus 2,"Gad,A.F., Seadawy,M.G., Hanaa,H.A., Mervet,G.H., Mohamed,M.A.","Egypt Army, Main Laboratories Of chemical warfare",Egypt,2022-08-09T00:00:00Z,BA.2,4.3/1.20/v0.1.10/0.3.18,,OMICRON-3,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29867,Egypt,oronasopharynx,2022-05-15
OP183419.1,Severe acute respiratory syndrome coronavirus 2,"Gad,A.F., Seadawy,M.G., Hanaa,H.A., Mervet,G.H., Mohamed,M.A.","Egypt Army, Main Laboratories Of chemical warfare",Egypt,2022-08-09T00:00:00Z,B.1.1.529,4.3/1.20/v0.1.10/0.3.18,,OMICRON-4,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29876,Egypt,oronasopharynx,2022-05-17
OP183420.1,Severe acute respiratory syndrome coronavirus 2,"Gad,A.F., Seadawy,M.G., Hanaa,H.A., Mervet,G.H., Mohamed,M.A.","Egypt Army, Main Laboratories Of chemical warfare",Egypt,2022-08-09T00:00:00Z,BA.2,4.3/1.20/v0.1.10/0.3.18,,OMICRON-5,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29876,Egypt,oronasopharynx,2022-05-19
OP183421.1,Severe acute respiratory syndrome coronavirus 2,"Gad,A.F., Seadawy,M.G., Hanaa,H.A., Mervet,G.H., Mohamed,M.A.","Egypt Army, Main Laboratories Of chemical warfare",Egypt,2022-08-09T00:00:00Z,BA.2,4.3/1.20/v0.1.10/0.3.18,,OMICRON-6,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29876,Egypt,oronasopharynx,2022-05-27
OP183422.1,Severe acute respiratory syndrome coronavirus 2,"Gad,A.F., Seadawy,M.G., Hanaa,H.A., Mervet,G.H., Mohamed,M.A.","Egypt Army, Main Laboratories Of chemical warfare",Egypt,2022-08-09T00:00:00Z,BA.2,4.3/1.20/v0.1.10/0.3.18,,OMICRON-7,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29876,Egypt,oronasopharynx,2022-05-29
OP183423.1,Severe acute respiratory syndrome coronavirus 2,"Gad,A.F., Seadawy,M.G., Hanaa,H.A., Mervet,G.H., Mohamed,M.A.","Egypt Army, Main Laboratories Of chemical warfare",Egypt,2022-08-09T00:00:00Z,BA.2,4.3/1.20/v0.1.10/0.3.18,,OMICRON-8,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29876,Egypt,oronasopharynx,2022-05-31
OP183424.1,Severe acute respiratory syndrome coronavirus 2,"Gad,A.F., Seadawy,M.G., Hanaa,H.A., Mervet,G.H., Mohamed,M.A.","Egypt Army, Main Laboratories Of chemical warfare",Egypt,2022-08-09T00:00:00Z,BA.2,4.3/1.20/v0.1.10/0.3.18,,OMICRON-9,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29876,Egypt,oronasopharynx,2022-05-31
OP183425.1,Severe acute respiratory syndrome coronavirus 2,"Gad,A.F., Seadawy,M.G., Hanaa,H.A., Mervet,G.H., Mohamed,M.A.","Egypt Army, Main Laboratories Of chemical warfare",Egypt,2022-08-09T00:00:00Z,B.1.1.529,4.3/1.20/v0.1.10/0.3.18,,OMICRON-10,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29876,Egypt,oronasopharynx,2022-06-28
